WARNING:root:Defaulting to PJRT_DEVICE=CPU
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-11-26 17:30:26.271 (   2.054s) [         CA41480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
